relation_id,tipo,nombre_detectado,cobertura_percent,colonia_extremo_A,colonia_extremo_B,lonlat_extremo_A,lonlat_extremo_B,n_ways,nombre_real
18074059,unica,Sin nombre — Ciudad Peluche ↔ La Aldea,,Ciudad Peluche,La Aldea,"-101.18230,19.66940","-101.16753,19.74884",98,
18074168,unica,Sin nombre — La Aldea ↔ Fraccionamiento La Campiña,,La Aldea,Fraccionamiento La Campiña,"-101.16670,19.73516","-101.24097,19.67458",87,
18074175,unica,Sin nombre — Irapeo ↔ Constituyentes de Apatzingan de 1814,,Irapeo,Constituyentes de Apatzingan de 1814,"-101.04784,19.67792","-101.18937,19.69595",37,
18096980,unica,Sin nombre — Ciudad Peluche ↔ La Aldea,,Ciudad Peluche,La Aldea,"-101.19321,19.66371","-101.18019,19.73340",122,
18097026,unica,Sin nombre — Ciudad Tres Marías ↔ Heroes de la Nación,,Ciudad Tres Marías,Heroes de la Nación,"-101.14372,19.70282","-101.23312,19.72908",144,
18097066,unica,Sin nombre — Ciudad Peluche ↔ La Aldea,,Ciudad Peluche,La Aldea,"-101.18384,19.67033","-101.18321,19.75950",127,
18097083,unica,Sin nombre — Heroes de la Nación ↔ Jesús del Monte,,Heroes de la Nación,Jesús del Monte,"-101.24964,19.71893","-101.14640,19.69374",120,
18097097,unica,Sin nombre — Ciudad Tres Marías ↔ Heroes de la Nación,,Ciudad Tres Marías,Heroes de la Nación,"-101.14372,19.70282","-101.23674,19.70765",126,
18178684,unica,Sin nombre — Ciudad Peluche ↔ Constituyentes de Apatzingan de 1814,,Ciudad Peluche,Constituyentes de Apatzingan de 1814,"-101.18826,19.58291","-101.19522,19.69555",45,
18178728,unica,Sin nombre — Fraccionamiento La Campiña ↔ Heroes de la Nación,,Fraccionamiento La Campiña,Heroes de la Nación,"-101.23091,19.67937","-101.21143,19.74882",95,
18178773,unica,Sin nombre — La Aldea ↔ Constituyentes de Apatzingan de 1814,,La Aldea,Constituyentes de Apatzingan de 1814,"-101.16359,19.73674","-101.21760,19.68050",97,
18179084,unica,Sin nombre — La Aldea ↔ Fracc. Misión del Valle,,La Aldea,Fracc. Misión del Valle,"-101.18241,19.71647","-101.11943,19.84230",42,
18179085,unica,Sin nombre — San Nicolás Obispo ↔ Constituyentes de Apatzingan de 1814,,San Nicolás Obispo,Constituyentes de Apatzingan de 1814,"-101.33876,19.64734","-101.18901,19.69349",68,
18180824,unica,Sin nombre — La Aldea ↔ Irapeo,,La Aldea,Irapeo,"-101.18241,19.71647","-100.85702,19.67469",61,
18180845,unica,Sin nombre — Joya de La Huerta ↔ Constituyentes de Apatzingan de 1814,,Joya de La Huerta,Constituyentes de Apatzingan de 1814,"-101.50855,19.48599","-101.20778,19.70083",89,
18180851,unica,Sin nombre — Jesús del Monte ↔ Ciudad Tres Marías,,Jesús del Monte,Ciudad Tres Marías,"-101.14916,19.69455","-101.11318,19.69672",16,
18180875,unica,Sin nombre — Irapeo ↔ La Aldea,,Irapeo,La Aldea,"-100.77444,19.63515","-101.18195,19.71682",68,
18180905,unica,Sin nombre — Constituyentes de Apatzingan de 1814 ↔ Ciudad Peluche,,Constituyentes de Apatzingan de 1814,Ciudad Peluche,"-101.19596,19.68221","-101.19137,19.66460",26,
18180909,unica,Sin nombre — Ciudad Peluche ↔ Constituyentes de Apatzingan de 1814,,Ciudad Peluche,Constituyentes de Apatzingan de 1814,"-101.19189,19.66372","-101.19574,19.68143",23,
18180946,unica,Sin nombre — Zona Ciudad Peluche,,Ciudad Peluche,Ciudad Peluche,"-101.19208,19.68234","-101.18090,19.65456",31,
18180960,unica,Sin nombre — Constituyentes de Apatzingan de 1814 ↔ La Aldea,,Constituyentes de Apatzingan de 1814,La Aldea,"-101.21757,19.68396","-101.19453,19.76276",110,
18074120,subconjunto,Villas del Pedregal 1,79/80,Constituyentes de Apatzingan de 1814,Villas del Pedregal,"-101.21645,19.69650","-101.32636,19.67479",56,
18074126,subconjunto,Azul A Soriana-CBTA,100/84,Fraccionamiento La Campiña,Jesús del Monte,"-101.24096,19.67144","-101.15248,19.68786",86,
18080251,duplicado,Ruta 2 (Contra Reloj),100/98,Constituyentes de Apatzingan de 1814,Constituyentes de Apatzingan de 1814,"-101.20483,19.69262","-101.20558,19.69273",94,
18097167,subconjunto,Naranja 3 Santa Maria - Erandeni,72/85,La Aldea,Ciudad Peluche,"-101.16516,19.74774","-101.18216,19.66994",111,
18140618,subconjunto,Azul A Soriana-CBTA,100/1,La Aldea,La Aldea,"-101.17614,19.70501","-101.17524,19.70496",1,
18178780,subconjunto,Valle Real (Trebol - Postal),100/89,Fracc. Misión del Valle,Constituyentes de Apatzingan de 1814,"-101.10862,19.76264","-101.18959,19.70535",72,
18179105,subconjunto,Gris 4,100/94,Constituyentes de Apatzingan de 1814,Constituyentes de Apatzingan de 1814,"-101.21263,19.70205","-101.21155,19.70896",96,
18180733,subconjunto,Laureles Aurea (Trebol - Posta - Monarcas),57/100,Fracc. Misión del Valle,Constituyentes de Apatzingan de 1814,"-101.09692,19.83605","-101.18938,19.70560",82,
18180930,subconjunto,Tenencia Morelos (Arquito),84/24,Pablo Galeana sección 1,Constituyentes de Apatzingan de 1814,"-101.23074,19.63904","-101.21930,19.67711",31,
